ITEM;ÁREA;ITEM;DESCRIPCIÓN;ITEM;DESCRIPCIÓN;ITEM;;ITEM;PROCESO;DESCRIPCIÓN;UN;"Cantidad
Remanente";;PROCESO;TOTAL (M3);;INICIO;FIN;DÍAS;;01-04-2024;01-05-2024;01-06-2024;01-07-2024;01-08-2024;01-09-2024;01-10-2024;01-11-2024;01-12-2024;01-01-2025;01-02-2025;01-03-2025;01-04-2025;01-05-2025;01-06-2025;01-07-2025;01-08-2025;01-09-2025;01-10-2025;01-11-2025;01-12-2025;01-01-2026;01-02-2026;01-03-2026;01-04-2026;01-05-2026;01-06-2026;01-07-2026
1.4;MO;1.4.1;Movimiento de Tierras IX Etapa;1.4.1.1;Excavación - Fundación Muro Oeste;1.4.1.1.3;VERDADERO;1.4.1.1.3;Excavación;Excavación material común - Refuerzo MO;m3;7380;;Excavación;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.4;MO;1.4.1;Movimiento de Tierras IX Etapa;1.4.1.1;Excavación - Fundación Muro Oeste;1.4.1.1.4;VERDADERO;1.4.1.1.4;Excavación;Excavación en Roca con medios mecánicos - Refuerzo MO;m3;775;;Excavación;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.4;MO;1.4.1;Movimiento de Tierras IX Etapa;1.4.1.2.;Escarpes - Muro Oeste;1.4.1.2.1;VERDADERO;1.4.1.2.1;Escarpe;Escarpe en arena - MO;m3;0;;Excavación;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.4;MO;1.4.1;Movimiento de Tierras IX Etapa;1.4.1.2.;Escarpes - Muro Oeste;1.4.1.2.2;VERDADERO;1.4.1.2.2;Escarpe;Escarpe en arena - Refuerzo MO;m3;15017;;Excavación;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.4;MO;1.4.1;Movimiento de Tierras IX Etapa;1.4.1.2.;Escarpes - Muro Oeste;1.4.1.2.3;VERDADERO;1.4.1.2.3;Escarpe;Escarpe en terreno natural;m3;20015;;Excavación;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.4;MO;1.4.1;Movimiento de Tierras IX Etapa;1.4.1.3.;Rellenos - Aguas Abajo Muro Oeste;1.4.1.3.1;VERDADERO;1.4.1.3.1;Relleno;Relleno masivo de Lastre - aguas abajo bajo la cota 2496 - MO;m3;919853;;Relleno;919853;;07-05-2024;02-11-2024;180;;0;127757;153309;158419;158419;153309;158419;10221;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.4;MO;1.4.1;Movimiento de Tierras IX Etapa;1.4.1.3.;Rellenos - Aguas Abajo Muro Oeste;1.4.1.3.2;VERDADERO;1.4.1.3.2;Relleno;Relleno masivo de Lastre - aguas abajo  Refuerzo MO+2 rampas acceso;m3;543720;;Relleno;543720;;09-03-2025;07-05-2025;60;;0;0;0;0;0;0;0;0;0;0;0;208426;271860;63434;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.4;MO;1.4.1;Movimiento de Tierras IX Etapa;1.4.1.4.;Rellenos - Aguas Arriba Muro Oeste;1.4.1.4.1;VERDADERO;1.4.1.4.1;Zampeado;Relleno de lastre para Zampeado - MO;m3;28193;;Relleno;28193;;03-11-2024;20-11-2024;18;;0;0;0;0;0;0;0;28193;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.4;MO;1.4.1;Movimiento de Tierras IX Etapa;1.4.1.4.;Rellenos - Aguas Arriba Muro Oeste;1.4.1.4.2;VERDADERO;1.4.1.4.2;Relleno;Relleno masivo de Lastre - aguas arriba bajo la cota 2496 - MO;m3;46248;;Relleno;46248;;09-11-2024;20-11-2024;12;;0;0;0;0;0;0;0;46248;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.4;MO;1.4.1;Movimiento de Tierras IX Etapa;1.4.1.5.;Rellenos  - Coronamiento  Muro Oeste;1.4.1.5.1;VERDADERO;1.4.1.5.1;Relleno;Relleno masivo de Lastre - coronamiento sobre cota 2496 - MO;m3;316677;;Relleno;316677;;21-11-2024;08-02-2025;80;;0;0;0;0;0;0;0;39585;122712;122712;31668;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.4;MO;1.4.1;Movimiento de Tierras IX Etapa;1.4.1.5.;Rellenos  - Coronamiento  Muro Oeste;1.4.1.5.2;VERDADERO;1.4.1.5.2;Pretil;Pretil de seguridad - coronamiento MO;m3;7489;;Relleno;7489;;21-03-2025;28-03-2025;8;;0;0;0;0;0;0;0;0;0;0;0;7489;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.4;MO;1.4.1;Movimiento de Tierras IX Etapa;1.4.1.5.;Rellenos  - Coronamiento  Muro Oeste;1.4.1.5.3;VERDADERO;1.4.1.5.3;Relleno;Relleno tipo Filtro F1 - MO;m3;15805;;Relleno;15805;;06-03-2025;25-03-2025;20;;0;0;0;0;0;0;0;0;0;0;0;15805;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.4;MO;1.4.1;Movimiento de Tierras IX Etapa;1.4.1.5.;Rellenos  - Coronamiento  Muro Oeste;1.4.1.5.4;VERDADERO;1.4.1.5.4;Relleno;Relleno material drenante tipo D2 - MO;m3;15800;;Relleno;15800;;06-03-2025;25-03-2025;20;;0;0;0;0;0;0;0;0;0;0;0;15800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.4;MO;1.4.1;Movimiento de Tierras IX Etapa;1.4.1.5.;Rellenos  - Coronamiento  Muro Oeste;1.4.1.5.5;VERDADERO;1.4.1.5.5;Relleno;Relleno tipo Filtro F2 - MO;m3;15830;;Relleno;15830;;06-03-2025;20-03-2025;15;;0;0;0;0;0;0;0;0;0;0;0;15830;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
