Registro;Hora;Dir.;Operador;Camion ID;Camion Volumen (m3);Total (m3);Modelo
230101-000833;28-07-2024;ENTRA;L67;L67;16.7;16.7;Mercedes
230101-000832;28-07-2024;ENTRA;X31;X31;19.4;19.4;Volvo
230101-000831;28-07-2024;ENTRA;J10;J10;20.8;20.8;Volvo
230101-000830;28-07-2024;ENTRA;L31;L31;19.9;19.9;Mercedes
230101-000829;28-07-2024;ENTRA;W78;W78;18.8;18.8;Mercedes
230101-000828;28-07-2024;ENTRA;W10;W10;18.4;18.4;Mercedes
230101-000827;28-07-2024;ENTRA;L80;L80;20.4;20.4;Mercedes
230101-000826;28-07-2024;ENTRA;S79;S79;19.4;19.4;Volvo
230101-000825;28-07-2024;ENTRA;T53;T53;19.7;19.7;Mercedes
230101-000824;28-07-2024;ENTRA;H32;H32;19.2;19.2;Mercedes
230101-000823;28-07-2024;ENTRA;Y28;Y28;19.8;19.8;Volvo
230101-000822;28-07-2024;ENTRA;K47;K47;19.4;19.4;Volvo
230101-000821;28-07-2024;ENTRA;T51;T51;19.7;19.7;Mercedes
230101-000820;28-07-2024;ENTRA;Z90;Z90;19.7;19.7;Volvo
230101-000819;28-07-2024;ENTRA;H30;H30;19;19;Mercedes
230101-000818;28-07-2024;ENTRA;S56;S56;20.3;20.3;Volvo
230101-000817;28-07-2024;ENTRA;K48;K48;19.8;19.8;Volvo
230101-000816;28-07-2024;ENTRA;X32;X32;20;20;Volvo
230101-000815;28-07-2024;ENTRA;J11;J11;21.4;21.4;Volvo
230101-000814;28-07-2024;ENTRA;V55;V55;19.3;19.3;Volvo
230101-000813;28-07-2024;ENTRA;L78;L78;19.5;19.5;Mercedes
230101-000812;28-07-2024;ENTRA;F92;F92;19.2;19.2;Volvo
230101-000811;28-07-2024;ENTRA;L80;L80;21.8;21.8;Mercedes
230101-000810;28-07-2024;ENTRA;J10;J10;20.6;20.6;Volvo
230101-000809;28-07-2024;ENTRA;L67;L67;19;19;Mercedes
230101-000808;28-07-2024;ENTRA;L77;L77;17.3;17.3;Mercedes
230101-000807;28-07-2024;ENTRA;L13;L13;21.4;21.4;Volvo
230101-000806;28-07-2024;ENTRA;X31;X31;18.4;18.4;Volvo
230101-000805;28-07-2024;ENTRA;L31;L31;19.1;19.1;Mercedes
230101-000804;28-07-2024;ENTRA;Z92;Z92;20.7;20.7;Volvo
230101-000803;28-07-2024;ENTRA;W78;W78;19.8;19.8;Mercedes
230101-000802;28-07-2024;ENTRA;T53;T53;19.3;19.3;Mercedes
230101-000801;28-07-2024;ENTRA;W10;W10;18.8;18.8;Mercedes
230101-000800;28-07-2024;ENTRA;S79;S79;18.2;18.2;Volvo
230101-000799;28-07-2024;ENTRA;K29;K29;18.4;18.4;Volvo
230101-000798;28-07-2024;ENTRA;L80;L80;20.1;20.1;Mercedes
230101-000797;28-07-2024;ENTRA;F93;F93;21.7;21.7;Volvo
230101-000796;28-07-2024;ENTRA;T51;T51;19.5;19.5;Mercedes
230101-000795;28-07-2024;ENTRA;Z90;Z90;19.3;19.3;Volvo
230101-000794;28-07-2024;ENTRA;T54;T54;19.8;19.8;Mercedes
230101-000793;28-07-2024;ENTRA;K47;K47;19.3;19.3;Volvo
230101-000792;28-07-2024;ENTRA;H32;H32;18.9;18.9;Mercedes
230101-000791;28-07-2024;ENTRA;H21;H21;18.5;18.5;Volvo
230101-000790;28-07-2024;ENTRA;F33;F33;21.4;21.4;Volvo
230101-000789;28-07-2024;ENTRA;J10;J10;21;21;Volvo
230101-000788;28-07-2024;ENTRA;L78;L78;17.3;17.3;Mercedes
230101-000787;28-07-2024;ENTRA;J11;J11;22.4;22.4;Volvo
230101-000786;28-07-2024;ENTRA;L67;L67;21.1;21.1;Mercedes
230101-000785;28-07-2024;ENTRA;V45;V45;20.2;20.2;Volvo
230101-000784;28-07-2024;ENTRA;V43;V43;22.2;22.2;Volvo
230101-000783;28-07-2024;ENTRA;T53;T53;20.8;20.8;Mercedes
230101-000782;28-07-2024;ENTRA;L80;L80;19.7;19.7;Mercedes
230101-000781;28-07-2024;ENTRA;S77;S77;20.9;20.9;Volvo
230101-000780;28-07-2024;ENTRA;X31;X31;20.1;20.1;Volvo
230101-000779;28-07-2024;ENTRA;R84;R84;19.4;19.4;Mercedes
230101-000778;28-07-2024;ENTRA;W10;W10;20;20;Mercedes
230101-000777;28-07-2024;ENTRA;S36;S36;20.4;20.4;Mercedes
230101-000776;28-07-2024;ENTRA;X15;X15;21.8;21.8;Mercedes
230101-000775;28-07-2024;ENTRA;T51;T51;0;0;Mercedes
230101-000774;28-07-2024;ENTRA;F94;F94;23.3;23.3;Volvo
230101-000773;28-07-2024;ENTRA;Z82;Z82;19.5;19.5;Mercedes
230101-000772;28-07-2024;ENTRA;H92;H92;0;0;Volvo
230101-000771;28-07-2024;ENTRA;J54;J54;20.1;20.1;Mercedes
230101-000770;28-07-2024;ENTRA;X32;X32;19.3;19.3;Volvo
230101-000769;28-07-2024;ENTRA;F33;F33;22.2;22.2;Volvo
230101-000768;28-07-2024;ENTRA;K79;K79;22.5;22.5;Volvo
230101-000767;28-07-2024;ENTRA;S79;S79;20.8;20.8;Volvo
230101-000766;28-07-2024;ENTRA;Y28;Y28;20.8;20.8;Volvo
230101-000765;28-07-2024;ENTRA;F51;F51;20.3;20.3;Volvo
230101-000764;28-07-2024;ENTRA;K29;K29;20.1;20.1;Volvo
230101-000763;28-07-2024;ENTRA;Z90;Z90;21.3;21.3;Volvo
230101-000762;28-07-2024;ENTRA;L13;L13;21.2;21.2;Volvo
230101-000761;28-07-2024;ENTRA;K48;K48;21.2;21.2;Volvo
230101-000760;28-07-2024;ENTRA;W60;W60;19.2;19.2;Volvo
230101-000759;28-07-2024;ENTRA;K47;K47;21.4;21.4;Volvo
230101-000758;28-07-2024;ENTRA;W12;W12;20.6;20.6;Mercedes
230101-000757;28-07-2024;ENTRA;L78;L78;19.9;19.9;Mercedes
230101-000756;28-07-2024;ENTRA;J10;J10;19.3;19.3;Volvo
230101-000755;28-07-2024;ENTRA;H32;H32;19.8;19.8;Mercedes
230101-000754;28-07-2024;ENTRA;L79;L79;18.9;18.9;Mercedes
230101-000753;28-07-2024;ENTRA;V43;V43;19.3;19.3;Volvo
230101-000752;28-07-2024;ENTRA;L67;L67;20.7;20.7;Mercedes
230101-000751;28-07-2024;ENTRA;B34;B34;20.2;20.2;Volvo
230101-000750;28-07-2024;ENTRA;F88;F88;20.3;20.3;Mercedes
230101-000749;28-07-2024;ENTRA;F28;F28;21.3;21.3;Volvo
230101-000748;28-07-2024;ENTRA;F93;F93;20.4;20.4;Volvo
230101-000747;28-07-2024;ENTRA;H92;H92;20.5;20.5;Volvo
230101-000746;28-07-2024;ENTRA;S77;S77;20.4;20.4;Volvo
230101-000745;28-07-2024;ENTRA;J63;J63;20;20;Mercedes
230101-000744;28-07-2024;ENTRA;V45;V45;20.4;20.4;Volvo
230101-000743;28-07-2024;ENTRA;J11;J11;23;23;Volvo
230101-000742;28-07-2024;ENTRA;L77;L77;20;20;Mercedes
230101-000741;28-07-2024;ENTRA;F92;F92;21.5;21.5;Volvo
230101-000740;28-07-2024;ENTRA;TT43;TT43;20.8;20.8;Mercedes
230101-000739;28-07-2024;ENTRA;K28;K28;20.8;20.8;Volvo
230101-000738;28-07-2024;ENTRA;Y28;Y28;21;21;Volvo
230101-000737;28-07-2024;ENTRA;Z92;Z92;20.1;20.1;Volvo
230101-000736;28-07-2024;ENTRA;P27;P27;19.4;19.4;Volvo
230101-000735;28-07-2024;ENTRA;L80;L80;19.1;19.1;Mercedes
230101-000734;28-07-2024;ENTRA;Y11;Y11;20.4;20.4;Volvo
230101-000733;28-07-2024;ENTRA;L31;L31;21.5;21.5;Mercedes
230101-000732;28-07-2024;ENTRA;F31;F31;22.3;22.3;Volvo
230101-000731;28-07-2024;ENTRA;R84;R84;20.3;20.3;Mercedes
230101-000730;28-07-2024;ENTRA;K46;K46;19.7;19.7;Volvo
230101-000729;28-07-2024;ENTRA;H30;H30;20.1;20.1;Mercedes
230101-000728;28-07-2024;ENTRA;W58;W58;21.1;21.1;Volvo
230101-000727;28-07-2024;ENTRA;H21;H21;22.9;22.9;Volvo
230101-000726;28-07-2024;ENTRA;X32;X32;20;20;Volvo
230101-000725;28-07-2024;ENTRA;J79;J79;20;20;Volvo
230101-000724;28-07-2024;ENTRA;L13;L13;19.7;19.7;Volvo
230101-000723;28-07-2024;ENTRA;Z90;Z90;21;21;Volvo
230101-000722;28-07-2024;ENTRA;S57;S57;19.8;19.8;Volvo
230101-000721;28-07-2024;ENTRA;W59;W59;21.5;21.5;Volvo
230101-000720;28-07-2024;ENTRA;TT43;TT43;20.4;20.4;Mercedes
230101-000719;28-07-2024;ENTRA;T54;T54;20.9;20.9;Mercedes
230101-000718;28-07-2024;ENTRA;L78;L78;20.4;20.4;Mercedes
230101-000717;28-07-2024;ENTRA;Y11;Y11;21.3;21.3;Volvo
230101-000716;28-07-2024;ENTRA;F51;F51;20.1;20.1;Volvo
230101-000715;28-07-2024;ENTRA;S79;S79;20.3;20.3;Volvo
230101-000714;28-07-2024;ENTRA;K48;K48;19.1;19.1;Volvo
230101-000713;28-07-2024;ENTRA;F88;F88;20;20;Mercedes
230101-000712;28-07-2024;ENTRA;S77;S77;20.7;20.7;Volvo
230101-000711;28-07-2024;ENTRA;Z82;Z82;20.2;20.2;Mercedes
230101-000710;28-07-2024;ENTRA;V43;V43;20.5;20.5;Volvo
230101-000709;28-07-2024;ENTRA;Z92;Z92;20.1;20.1;Volvo
230101-000708;28-07-2024;ENTRA;J10;J10;22.9;22.9;Volvo
230101-000707;28-07-2024;ENTRA;T53;T53;20.8;20.8;Mercedes
230101-000706;28-07-2024;ENTRA;V45;V45;21.3;21.3;Volvo
230101-000705;28-07-2024;ENTRA;J11;J11;23;23;Volvo
230101-000704;28-07-2024;ENTRA;H32;H32;19.5;19.5;Mercedes
230101-000703;28-07-2024;ENTRA;T51;T51;20.7;20.7;Mercedes
230101-000702;28-07-2024;ENTRA;F28;F28;21.9;21.9;Volvo
230101-000701;28-07-2024;ENTRA;F93;F93;22.4;22.4;Volvo
230101-000700;28-07-2024;ENTRA;L79;L79;20;20;Mercedes
230101-000699;28-07-2024;ENTRA;H30;H30;19.2;19.2;Mercedes
230101-000698;28-07-2024;ENTRA;F33;F33;21.4;21.4;Volvo
230101-000697;28-07-2024;ENTRA;W58;W58;21.3;21.3;Volvo
230101-000696;28-07-2024;ENTRA;L77;L77;20.3;20.3;Mercedes
230101-000695;28-07-2024;ENTRA;W12;W12;19.2;19.2;Mercedes
230101-000694;28-07-2024;ENTRA;X31;X31;19.9;19.9;Volvo
230101-000693;28-07-2024;ENTRA;H92;H92;20.9;20.9;Volvo
230101-000692;28-07-2024;ENTRA;F29;F29;22.3;22.3;Volvo
230101-000691;28-07-2024;ENTRA;K47;K47;19.2;19.2;Volvo
230101-000690;28-07-2024;ENTRA;TT43;TT43;20.5;20.5;Mercedes
230101-000689;28-07-2024;ENTRA;J63;J63;18.3;18.3;Mercedes
230101-000688;28-07-2024;ENTRA;L67;L67;20.2;20.2;Mercedes
230101-000687;28-07-2024;ENTRA;F92;F92;21.8;21.8;Volvo
230101-000686;28-07-2024;ENTRA;Y11;Y11;20.4;20.4;Volvo
